dateTime,timerName,progNo,iActual2,pha2
2019-07-30 10:28:10.790,ub01l2-timer,101,8.44,43.67
2019-07-30 10:28:53.090,ub01l2-timer,101,8.52,42.57
2019-07-30 10:29:35.400,ub01l2-timer,101,8.59,44.71
2019-07-30 10:39:22.510,ub01l2-timer,101,8.51,44.31
2019-07-30 10:40:33.200,ub01l2-timer,101,8.44,42.56
2019-07-30 10:47:00.500,ub01l2-timer,101,8.44,41.69
2019-07-30 10:52:33.110,ub01l2-timer,101,8.47,44.39
2019-07-30 10:53:55.690,ub01l2-timer,101,8.43,43.24
2019-07-30 10:54:49.480,ub01l2-timer,101,8.50,43.13
2019-07-30 10:56:41.800,ub01l2-timer,101,8.49,42.16
2019-07-30 10:59:29.780,ub01l2-timer,101,8.52,42.49
2019-07-30 11:02:11.020,ub01l2-timer,101,8.51,41.91
2019-07-30 11:03:16.130,ub01l2-timer,101,8.52,41.77
2019-07-30 11:04:23.170,ub01l2-timer,101,8.51,41.96
2019-07-30 11:10:03.550,ub01l2-timer,101,8.53,44.57
2019-07-30 11:14:49.090,ub01l2-timer,101,8.47,44.00
2019-07-30 11:37:13.360,ub01l2-timer,101,8.58,44.12
2019-07-30 11:38:45.480,ub01l2-timer,101,8.55,43.58
2019-07-30 11:45:30.360,ub01l2-timer,101,8.55,44.20
2019-07-30 12:39:28.310,ub01l2-timer,101,8.46,43.40
2019-07-30 12:44:14.180,ub01l2-timer,101,8.45,43.30
2019-07-30 12:44:56.250,ub01l2-timer,101,8.44,43.95
2019-07-30 12:45:38.340,ub01l2-timer,101,8.45,43.89
2019-07-30 12:46:20.410,ub01l2-timer,101,8.48,43.53
2019-07-30 12:52:56.620,ub01l2-timer,101,8.47,41.61
2019-07-30 13:06:54.970,ub01l2-timer,101,8.52,42.48
2019-07-30 13:07:40.200,ub01l2-timer,101,8.47,44.35
2019-07-30 13:10:41.590,ub01l2-timer,101,8.52,42.45
2019-07-30 13:11:23.560,ub01l2-timer,101,8.47,44.63
2019-07-30 13:12:05.730,ub01l2-timer,101,8.51,44.38
2019-07-30 13:13:50.140,ub01l2-timer,101,8.43,42.60
2019-07-30 13:18:23.960,ub01l2-timer,101,8.49,44.01
2019-07-30 13:19:30.540,ub01l2-timer,101,8.58,42.42
2019-07-30 13:25:52.120,ub01l2-timer,101,8.52,42.29
2019-07-30 13:28:37.220,ub01l2-timer,101,8.59,45.43
2019-07-30 13:32:55.730,ub01l2-timer,101,8.46,44.66
2019-07-30 13:38:08.300,ub01l2-timer,101,8.52,45.13
2019-07-30 13:41:37.120,ub01l2-timer,101,8.57,45.77
2019-07-30 13:47:18.110,ub01l2-timer,101,8.57,45.95
2019-07-30 13:55:17.610,ub01l2-timer,101,8.57,45.48
2019-07-30 14:00:40.130,ub01l2-timer,101,8.51,45.06
2019-07-30 14:05:07.400,ub01l2-timer,101,8.58,45.37
2019-07-30 14:08:02.130,ub01l2-timer,101,8.61,46.01
2019-07-30 14:12:43.820,ub01l2-timer,101,8.50,45.09
2019-07-30 14:13:25.900,ub01l2-timer,101,8.51,45.25
2019-07-30 14:16:06.450,ub01l2-timer,101,8.61,43.42
2019-07-30 14:19:10.570,ub01l2-timer,101,8.53,42.84
2019-07-30 14:26:18.840,ub01l2-timer,101,8.56,43.14
2019-07-30 14:34:25.040,ub01l2-timer,101,8.54,42.45
2019-07-30 14:35:34.140,ub01l2-timer,101,8.54,44.16
2019-07-30 14:36:28.180,ub01l2-timer,101,8.46,44.21
2019-07-30 14:37:29.980,ub01l2-timer,101,8.51,44.43
2019-07-30 14:38:23.060,ub01l2-timer,101,8.56,44.92
2019-07-30 14:40:22.610,ub01l2-timer,101,8.60,45.32
2019-07-30 14:45:10.030,ub01l2-timer,101,8.47,44.23
2019-07-30 15:00:36.070,ub01l2-timer,101,8.53,44.30
2019-07-30 15:01:48.180,ub01l2-timer,101,8.60,42.08
2019-07-30 15:04:51.010,ub01l2-timer,101,8.52,41.68
2019-07-30 15:05:34.960,ub01l2-timer,101,8.56,41.58
2019-07-30 15:19:46.560,ub01l2-timer,101,8.55,41.35
2019-07-30 15:23:08.370,ub01l2-timer,101,8.49,41.51
2019-07-30 15:24:15.500,ub01l2-timer,101,8.58,41.78
2019-07-30 15:25:15.080,ub01l2-timer,101,8.49,41.79
2019-07-30 15:38:47.980,ub01l2-timer,101,8.56,41.35
2019-07-30 15:39:41.140,ub01l2-timer,101,8.47,43.97
2019-07-30 15:40:25.810,ub01l2-timer,101,8.45,43.62
2019-07-30 15:41:09.070,ub01l2-timer,101,8.47,44.08
2019-07-30 16:29:00.540,ub01l2-timer,101,8.42,43.42
2019-07-30 16:30:30.320,ub01l2-timer,101,8.45,41.49
2019-07-30 16:31:15.090,ub01l2-timer,101,8.53,41.33
2019-07-30 16:31:57.290,ub01l2-timer,101,8.57,41.66
2019-07-30 16:32:40.050,ub01l2-timer,101,8.52,41.89
2019-07-30 16:33:23.800,ub01l2-timer,101,8.51,41.84
2019-07-30 16:34:09.050,ub01l2-timer,101,8.47,41.41
2019-07-30 16:35:01.480,ub01l2-timer,101,8.52,41.22
2019-07-30 16:36:38.130,ub01l2-timer,101,8.59,41.11
2019-07-30 16:38:01.670,ub01l2-timer,101,8.51,40.83
2019-07-30 16:39:53.560,ub01l2-timer,101,8.68,42.16
2019-07-30 16:41:20.430,ub01l2-timer,101,8.73,42.02
2019-07-30 16:42:36.560,ub01l2-timer,101,8.47,42.55
2019-07-30 16:44:27.480,ub01l2-timer,101,8.51,41.63
2019-07-30 16:45:09.680,ub01l2-timer,101,8.53,41.28
2019-07-30 16:47:49.620,ub01l2-timer,101,8.50,43.76
2019-07-31 09:03:01.360,ub01l2-timer,101,8.48,42.88
2019-07-31 09:04:02.400,ub01l2-timer,101,8.48,43.20
2019-07-31 09:04:44.750,ub01l2-timer,101,8.56,41.58
2019-07-31 09:05:27.130,ub01l2-timer,101,8.47,41.23
2019-07-31 09:37:25.330,ub01l2-timer,101,8.48,43.06
2019-07-31 09:40:54.130,ub01l2-timer,101,8.45,43.37
2019-07-31 09:41:39.520,ub01l2-timer,101,8.54,42.78
2019-07-31 09:42:25.240,ub01l2-timer,101,8.49,42.83
2019-07-31 09:43:10.940,ub01l2-timer,101,8.54,42.86
2019-07-31 09:43:56.490,ub01l2-timer,101,8.57,43.68
2019-07-31 09:44:42.180,ub01l2-timer,101,8.50,42.85
