protRecord_ID,dateTime,timerName,progNo,spotName,wear,wearPerCent,monitorState,monitorState_txt,regulationState,regulationState_txt,measureState,measureState_txt,powerState,powerState_txt,sequenceState,sequenceState_txt,sequenceStateAdd,sequenceStateAdd_txt,sequenceRepeat,sequenceRepeat_txt,monitorMode,monitorMode_txt,iDemandStd,ilsts,regulationStd,regulationStd_txt,iDemand1,iActual1,regulation1,regulation1_txt,iDemand2,iActual2,regulation2,regulation2_txt,iDemand3,iActual3,regulation3,regulation3_txt,phaStd,pha1,pha2,pha3,t_iDemandStd,tActualStd,partIdentString,tipDressCounter,electrodeNo,voltageActualValue,voltageRefValue,currentActualValue,currentReferenceValue,weldTimeActualValue,weldTimeRefValue,energyActualValue,energyRefValue,powerActualValue,powerRefValue,resistanceActualValue,resistanceRefValue,pulseWidthActualValue,pulseWidthRefValue,stabilisationFactorActValue,stabilisationFactorRefValue,thresholdStabilisationFactor,wldEffectStabilisationFactor,uipActualValue,uipRefValue,uirExpulsionTime,uirMeasuringActive,uirMeasuringActive_txt,uirRegulationActive,uirRegulationActive_txt,uirMonitoringActive,uirMonitoringActive_txt,uirWeldTimeProlongationActive,uirWeldTimeProlongationActive_txt,uirQStoppRefCntValue,uirQStoppActCntValue,uirUipUpperTol,uirUipLowerTol,uirUipCondTol,uirPsfLowerTol,uirPsfCondTol
1,2020-02-17 16:09:36.780,FR FLR_12B,102,,134426.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.12,0,标准,3.00,0.00,2,KSR,3.00,7.84,2,KSR,3.00,9.02,2,KSR,44.08,0.00,43.17,41.42,0.00,281.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
2,2020-02-17 16:09:38.730,FR FLR_12B,103,,134427.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.13,0,标准,3.00,0.00,2,KSR,3.00,8.03,2,KSR,3.00,9.01,2,KSR,43.39,0.00,41.86,43.14,0.00,221.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
3,2020-02-17 16:09:40.860,FR FLR_12B,104,,134428.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.13,0,标准,3.00,0.00,2,KSR,3.00,8.04,2,KSR,3.00,9.01,2,KSR,43.10,0.00,41.26,41.87,0.00,221.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
4,2020-02-17 16:09:42.810,FR FLR_12B,105,,134429.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.12,0,标准,3.00,0.00,2,KSR,3.00,7.85,2,KSR,3.00,9.00,2,KSR,42.24,0.00,40.89,41.76,0.00,281.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
5,2020-02-17 16:10:02.750,FR FLR_12B,106,,134430.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.01,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.01,2,KSR,44.95,0.00,44.00,44.88,0.00,421.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
6,2020-02-17 16:10:04.110,FR FLR_12B,107,,134431.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.12,0,标准,3.00,0.00,2,KSR,3.00,7.83,2,KSR,3.00,9.02,2,KSR,42.45,0.00,41.66,40.47,0.00,281.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
7,2020-02-17 16:10:05.780,FR FLR_12B,108,,134432.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.01,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.04,2,KSR,45.38,0.00,44.69,44.10,0.00,421.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
8,2020-02-17 16:10:07.640,FR FLR_12B,109,,134433.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.01,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.03,2,KSR,44.44,0.00,43.71,43.07,0.00,421.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
9,2020-02-17 16:10:09.290,FR FLR_12B,110,,134434.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.01,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.03,2,KSR,42.73,0.00,41.24,43.05,0.00,421.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
10,2020-02-17 16:10:11.030,FR FLR_12B,111,,134435.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.01,0,标准,3.00,0.00,2,KSR,3.00,7.82,2,KSR,3.00,9.02,2,KSR,44.55,0.00,43.45,43.65,0.00,421.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
11,2020-02-17 16:10:12.630,FR FLR_12B,112,,134436.00,0.00,0,确定,0,not relevant,0,not relevant,0," %IOK",0,结束,0,确定,0,Off,0,标准,3.00,8.12,0,标准,3.00,0.00,2,KSR,3.00,7.85,2,KSR,3.00,9.00,2,KSR,42.75,0.00,41.37,41.88,0.00,281.00,,0,1,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,Off,0,Off,0,Off,0,Off,0,0,0.00,0.00,0.00,0.00,0.00
